iter	RMSE
0	0.4540228779
1	0.4540203245
2	0.4540163542
3	0.4540099252
4	0.4540084522
5	0.453999354
6	0.4539971702
7	0.4539946473
8	0.4539899221
9	0.4539857706
10	0.4539852573
11	0.4539832487
12	0.4539825675
13	0.453980853
14	0.453979853
15	0.4539719098
16	0.45396821
17	0.453967427
18	0.4539663062
19	0.4539663062
20	0.4539620355
21	0.4539607717
22	0.4539590569
23	0.4539562559
24	0.4539538695
25	0.4539495467
26	0.4539491414
27	0.4539480662
28	0.4539480106
29	0.4539466333
30	0.4539433684
31	0.4539417975
32	0.453933867
33	0.4539330582
34	0.4539318857
35	0.4539294005
36	0.4539279307
37	0.4539247351
38	0.4539219364
39	0.4539207596
40	0.4539195478
41	0.4539195478
42	0.4539179415
43	0.4539174481
44	0.4539152005
45	0.4539148198
46	0.4539114171
47	0.4539107719
48	0.4539043221
49	0.4539037972
