iter	Passed	Remaining
0	49	2407
1	87	2099
2	118	1856
3	140	1618
4	160	1445
5	184	1351
6	207	1271
7	245	1286
8	265	1209
9	294	1178
10	312	1107
11	331	1048
12	346	985
13	364	937
14	382	892
15	404	858
16	422	820
17	436	776
18	454	741
19	470	706
20	483	668
21	504	641
22	522	613
23	541	586
24	555	555
25	578	533
26	594	506
27	612	481
28	628	455
29	641	427
30	655	401
31	674	379
32	693	357
33	715	336
34	732	314
35	756	294
36	781	274
37	810	255
38	838	236
39	876	219
40	896	196
41	921	175
42	936	152
43	957	130
44	971	107
45	984	85
46	1006	64
47	1019	42
48	1036	21
49	1050	0
